Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
3.8,Research & Development,Business Services,Unknown / Non-Applicable,0,0,89,153,121.0,cientifico de datos,na,1,0,1,0,0,3443,7Park Data,NY,1,51-200 ,8,privado,-1
4.7,Security Services,Business Services,Unknown / Non-Applicable,0,0,61,110,85.5,cientifico de datos,na,1,0,0,0,0,3316,Rapid Response Monitoring,NY,1,501-1000 ,28,privado,3
4.3,Education Training Services,Education,Unknown / Non-Applicable,0,0,65,110,87.5,cientifico de datos,na,1,0,0,0,0,3717,Trilogy Ed,TX,0,1001-5000 ,5,subsidiary,3
4.2,Consulting,Business Services,Unknown / Non-Applicable,0,1,200,275,237.5,cientifico de datos,senior,1,0,0,0,1,3301,Gallup,DC,1,1001-5000 ,85,privado,3
3.9,IT Services,Information Technology,$100 to $500 million (USD),0,0,68,123,95.5,ingeniero de datos,na,1,0,1,0,0,5483,CapTech,NC,0,1001-5000 ,23,privado,3
3.3,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),0,0,80,129,104.5,cientifico de datos,senior,1,0,1,1,1,4753,American Axle & Manufacturing,MI,0,10000+ ,26,publico,-1
4.7,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,41,72,56.5,analysta de datos,na,0,0,0,0,1,5609,CentralReach,NJ,0,201-500 ,8,privado,3
4.3,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),0,0,39,71,55.0,analysta de datos,senior,0,0,0,0,1,3209,Integrate,AZ,1,201-500 ,10,privado,-1
2.9,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,38,85,61.5,na,na,0,0,0,0,1,4917,Boys Town Hospital,NE,1,1001-5000 ,43,hospital,3
4.5,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,0,121,193,157.0,cientifico de datos,na,0,0,1,1,0,5139,Demandbase,CA,1,201-500 ,14,privado,3
3.4,Internet,Information Technology,Unknown / Non-Applicable,0,0,54,102,78.0,ingeniero de datos,na,1,0,0,0,0,2232,Sapphire Digital,NJ,1,201-500 ,1,privado,2
