ID_MES,ID_PAIS,ID_CONTINENTE,ID_OCM,NUMERO_VISITANTES
1,181,6,1,0
1,181,6,2,0
1,181,6,3,0
1,181,6,4,0
1,181,6,5,0
1,181,6,6,0
1,182,7,1,0
1,182,7,2,0
1,182,7,3,0
1,182,7,4,0
1,182,7,5,0
1,182,7,6,0
1,183,2,1,86
1,183,2,2,0
1,183,2,3,0
1,183,2,4,0
1,183,2,5,0
1,183,2,6,0
1,184,6,1,20
1,184,6,2,0
1,184,6,3,1
1,184,6,4,1
1,184,6,5,0
1,184,6,6,4
1,185,5,1,1
1,185,5,2,0
1,185,5,3,0
1,185,5,4,0
1,185,5,5,0
1,185,5,6,0
1,186,5,1,1415
1,186,5,2,34
1,186,5,3,156
1,186,5,4,60
1,186,5,5,24
1,186,5,6,154
1,187,7,1,0
1,187,7,2,0
1,187,7,3,0
1,187,7,4,0
1,187,7,5,0
1,187,7,6,0
1,188,4,1,1324
1,188,4,2,28
1,188,4,3,23
1,188,4,4,18
1,188,4,5,16
1,188,4,6,204
1,189,6,1,8
1,189,6,2,0
1,189,6,3,0
1,189,6,4,0
1,189,6,5,0
1,189,6,6,2
1,190,3,1,5264
1,190,3,2,179
1,190,3,3,209
1,190,3,4,95
1,190,3,5,107
1,190,3,6,126
1,191,5,1,14
1,191,5,2,0
1,191,5,3,0
1,191,5,4,0
1,191,5,5,0
1,191,5,6,0
1,192,7,1,1
1,192,7,2,0
1,192,7,3,0
1,192,7,4,0
1,192,7,5,0
1,192,7,6,0
1,193,4,1,2
1,193,4,2,0
1,193,4,3,0
1,193,4,4,0
1,193,4,5,0
1,193,4,6,0
1,194,3,1,7990
1,194,3,2,2402
1,194,3,3,113
1,194,3,4,40
1,194,3,5,7656
1,194,3,6,352
1,195,5,1,158
1,195,5,2,3
1,195,5,3,2
1,195,5,4,1
1,195,5,5,1
1,195,5,6,14
1,196,5,1,6
1,196,5,2,1
1,196,5,3,0
1,196,5,4,0
1,196,5,5,0
1,196,5,6,0
1,197,6,1,14
1,197,6,2,0
1,197,6,3,0
1,197,6,4,0
1,197,6,5,0
1,197,6,6,1
1,198,6,1,13
1,198,6,2,0
1,198,6,3,0
1,198,6,4,0
1,198,6,5,0
1,198,6,6,6
2,1,5,1,3
2,1,5,2,23
2,1,5,3,1
2,1,5,4,0
2,1,5,5,0
2,1,5,6,0
2,2,4,1,27
2,2,4,2,0
2,2,4,3,0
2,2,4,4,0
2,2,4,5,1
2,2,4,6,3
2,3,4,1,22602
2,3,4,2,598
2,3,4,3,1177
2,3,4,4,874
2,3,4,5,691
2,3,4,6,2555
2,4,4,1,36
2,4,4,2,0
2,4,4,3,0
2,4,4,4,0
2,4,4,5,1
2,4,4,6,4
2,5,6,1,5
2,5,6,2,0
2,5,6,3,0
2,5,6,4,0
2,5,6,5,0
2,5,6,6,0
2,6,2,1,23
2,6,2,2,0
2,6,2,3,0
2,6,2,4,0
2,6,2,5,0
2,6,2,6,0
2,7,5,1,56
2,7,5,2,0
2,7,5,3,2
2,7,5,4,1
2,7,5,5,0
2,7,5,6,3
2,8,6,1,22
2,8,6,2,0
2,8,6,3,1
2,8,6,4,0
2,8,6,5,0
2,8,6,6,0
2,9,3,1,51680
2,9,3,2,5851
2,9,3,3,2946
2,9,3,4,965
2,9,3,5,1331
2,9,3,6,1130
2,10,5,1,54
2,10,5,2,3
2,10,5,3,1
2,10,5,4,1
2,10,5,5,1
2,10,5,6,3
2,11,2,1,50
2,11,2,2,0
2,11,2,3,0
